iter	Passed	Remaining
400	35693	8812
401	35785	8723
402	35873	8634
403	35951	8542
404	36038	8453
405	36122	8363
406	36200	8271
407	36274	8179
408	36361	8090
409	36448	8000
410	36537	7911
411	36615	7820
412	36696	7730
413	36780	7640
414	36871	7552
415	36965	7464
416	37045	7373
417	37130	7283
418	37216	7194
419	37299	7104
420	37401	7018
421	37484	6928
422	37566	6838
423	37650	6748
424	37734	6659
425	37812	6568
426	37897	6478
427	37995	6391
428	38076	6301
429	38169	6213
430	38265	6125
431	38343	6035
432	38423	5945
433	38513	5856
434	38604	5768
435	38681	5677
436	38763	5588
437	38842	5498
438	38947	5411
439	39052	5325
440	39142	5236
441	39225	5147
442	39321	5059
443	39411	4970
444	39509	4883
445	39604	4795
446	39710	4708
447	39816	4621
448	39921	4534
449	40027	4447
450	40133	4360
451	40237	4273
452	40344	4185
453	40461	4099
454	40578	4013
455	40694	3926
456	40820	3840
457	40940	3754
458	41049	3666
459	41157	3578
460	41259	3490
461	41358	3401
462	41452	3312
463	41550	3223
464	41660	3135
465	41768	3047
466	41868	2958
467	41963	2869
468	42066	2780
469	42158	2690
470	42247	2601
471	42342	2511
472	42434	2422
473	42533	2333
474	42632	2243
475	42726	2154
476	42822	2064
477	42914	1975
478	43023	1886
479	43120	1796
480	43202	1706
481	43337	1618
482	43456	1529
483	43536	1439
484	43623	1349
485	43721	1259
486	43823	1169
487	43932	1080
488	44028	990
489	44126	900
490	44228	810
491	44328	720
492	44429	630
493	44527	540
494	44623	450
495	44707	360
496	44797	270
497	44886	180
498	44990	90
499	45087	0
