iter	Logloss
209	0.4547466423
210	0.4546124078
211	0.4545437612
212	0.4544704599
213	0.4543821385
214	0.4542610964
215	0.4541256817
216	0.4540245843
217	0.4539046836
218	0.453843714
219	0.4537473444
220	0.4536416541
221	0.4534879279
222	0.4534240457
223	0.4533140827
224	0.4532435619
225	0.4531909956
226	0.4530874284
227	0.4530345772
228	0.4529046129
229	0.4528530134
230	0.4527959092
231	0.4526798383
232	0.4525914056
233	0.4525039467
234	0.4524055561
235	0.4523065674
236	0.4521813578
237	0.4520937167
238	0.4520052068
239	0.4519037657
240	0.4518287128
241	0.4517798205
242	0.4517427256
243	0.4516708845
244	0.4516155427
245	0.4515525434
246	0.45146439
247	0.4513999629
248	0.4513163745
249	0.4512772441
250	0.4510616257
251	0.4510038346
252	0.4509386218
253	0.4508649226
254	0.450806735
255	0.4507328758
256	0.4506792167
257	0.4505735663
258	0.4505259412
259	0.4504278119
260	0.4503472916
261	0.4502998144
262	0.4501391551
263	0.4500198682
264	0.4499550691
265	0.4498876739
266	0.4497826063
267	0.449689926
268	0.4496167627
269	0.4495672414
270	0.4495145219
271	0.4494158426
272	0.4493683182
273	0.4492833165
274	0.4492156101
275	0.4491505068
276	0.4490064613
277	0.448912459
278	0.4488663579
279	0.448831365
280	0.4487455493
281	0.4486697239
282	0.4485783459
283	0.44851124
284	0.4484462793
285	0.4484034127
286	0.4483259868
287	0.4482448486
288	0.4481816119
289	0.4481268026
290	0.4480651321
291	0.4480199588
292	0.4478813355
293	0.4478219175
294	0.4477609606
295	0.4476581614
296	0.447596126
297	0.4475466997
298	0.4474053565
299	0.4473394958
300	0.4472938625
301	0.4472237097
302	0.4471238461
303	0.4470537616
304	0.4470076159
305	0.4469562971
306	0.4468285889
307	0.4467914857
308	0.4467362878
309	0.4466440041
310	0.4465857265
311	0.4465077013
312	0.4464485918
313	0.44639982
314	0.4463149007
315	0.4462596808
316	0.4462185524
317	0.4461767432
318	0.4461189468
319	0.4460732261
320	0.4460281977
321	0.4459624153
322	0.4458695087
323	0.4457771508
324	0.4456686698
325	0.4456238686
326	0.4455794513
327	0.4454971864
328	0.4454544901
329	0.4453833831
330	0.4453378669
331	0.445299516
332	0.445261844
333	0.4451996276
334	0.4451295752
335	0.4450969039
336	0.4450569213
337	0.4449936533
338	0.4449635372
339	0.4449024538
340	0.4448309675
341	0.4447937641
342	0.4447459985
343	0.4447055583
344	0.4445825752
345	0.4445498395
346	0.4444783467
347	0.4444148437
348	0.4443815018
349	0.4443066121
350	0.4442464791
351	0.4441941279
352	0.4441276891
353	0.4440999729
354	0.4440103172
355	0.4439499599
356	0.4438678634
357	0.4438116161
358	0.4437726979
359	0.4437045679
360	0.4436555961
361	0.4436153217
362	0.4435632934
363	0.4434543474
364	0.443413161
365	0.4433348911
366	0.443309665
367	0.4432301831
368	0.4431802119
369	0.4431319878
370	0.4430772652
371	0.443015052
372	0.4429299664
373	0.4428988944
374	0.4428532547
375	0.4427557798
376	0.44270641
377	0.4426563605
378	0.4426126719
379	0.4425145346
380	0.442464796
381	0.4424073156
382	0.442365749
383	0.4423321681
384	0.4422662167
385	0.4422412488
386	0.4421581485
387	0.4421181749
388	0.4420780221
389	0.4420313428
390	0.4419917515
391	0.4419265472
392	0.4418932555
393	0.4418026876
394	0.4417180355
395	0.4416657964
396	0.4416199508
397	0.4415683752
398	0.4414888935
399	0.441446999
400	0.4414041997
401	0.4413534712
402	0.4412794938
403	0.4412477478
404	0.4412089525
405	0.4411701349
406	0.4410951318
407	0.4410552799
408	0.4409981373
409	0.4409212905
410	0.4408526162
411	0.440798384
412	0.4407457014
413	0.4406999825
414	0.440662066
415	0.4405864428
416	0.4405516278
417	0.4405044141
418	0.4404751649
419	0.4404285746
420	0.4403624389
421	0.4402924863
422	0.4402448617
423	0.44019263
424	0.4401622997
425	0.4401239487
426	0.4400421261
427	0.439978851
428	0.4399327852
429	0.4398566779
430	0.4398155805
431	0.4397790975
432	0.4397423922
433	0.4396540177
434	0.4396310435
435	0.4395851427
436	0.4395446792
437	0.4394905872
438	0.4394079922
439	0.4393436647
440	0.439276013
441	0.439235227
442	0.439192464
443	0.4391226194
444	0.4390795811
445	0.4390188663
446	0.4389634249
447	0.4389264751
448	0.4388512518
449	0.4387958438
450	0.4387709564
451	0.4387280336
452	0.4386767159
453	0.4386370144
454	0.4385864048
455	0.4385535744
456	0.4384891462
457	0.4384578728
458	0.4384137959
459	0.4383687538
460	0.4383247429
461	0.4382776851
462	0.4382284229
463	0.43818618
464	0.4381295334
465	0.4380619269
466	0.438032994
467	0.4380051567
468	0.4379684842
469	0.4379384387
470	0.4378629107
471	0.4378315762
472	0.4377912073
473	0.4377197307
474	0.4376850621
475	0.4376390933
476	0.4375676304
477	0.4375359624
478	0.4374840897
479	0.4374552939
480	0.4374000078
481	0.4373556747
482	0.4373184128
483	0.4372770258
484	0.4372492056
485	0.4372114458
486	0.4371406722
487	0.437104322
488	0.4370638031
489	0.437038873
490	0.4370155789
491	0.4369652284
492	0.4369015229
493	0.4368768565
494	0.4368504819
495	0.436811577
496	0.4367784163
497	0.4366835788
498	0.4366140157
499	0.4365693775
